"method","n","wavelength_um","plate_start_um","plate_end_um","angle_deg","skin_depth_um","c_back_um","c_forward_um","c_abs_um","c_ext_um","back_pct_geometric_reference","optical_error_pct_extinction","local_error_pct_geometric_reference","mean_boundary_residual","max_edge_boundary_residual"
"collocation","55","1","-1.5","-0.5","10","0","0.45496609519095","0.4549660951909504","0","0.9099321903819004","262.00453198167594","0","2.249580280594557E-09","1.0328469886985824E-08",
"galerkin","55","1","-1.5","-0.5","10","0","0.4549660824968844","0.4549660824968844","0","0.9099321649937694","262.00452467145493","6.214001055509051E-14","2.249820237168337E-09","1.8123036005881166E-08",
"collocation","55","1","-1.5","-0.5","45","0","0.7044682195863774","0.704468219586378","0","1.4089364391727555","99.62685103998825","0","5.161299535704327E-12","1.318492572964956E-08",
"galerkin","55","1","-1.5","-0.5","45","0","0.7044682120837192","0.704468212083719","0","1.4089364241674387","99.62684997895215","2.0065914035312627E-14","5.0632037951807095E-12","2.363209736589054E-08",
"collocation","55","1","-1.5","-0.5","90","0","1.0033098114868186","1.0033098114868189","0","2.0066196229736395","100.33098114868187","9.862416270338246E-14","3.9756885278364345E-10","1.9546174368218097E-08",
"galerkin","55","1","-1.5","-0.5","90","0","1.0033098140329777","1.0033098140329781","0","2.006619628065955","100.33098140329777","4.226749819418492E-14","3.977654146048174E-10","3.687413718866026E-08",
"collocation","10","1","-1.5","-0.5","10","0.01","0.39897397968839227","0.3989739796883921","0.07265193247971333","0.8710409712081306","229.7599577771861","0.050638186516202804","0.25400745890204546","0.007523259575048852","0.09160050987626653"
"galerkin","10","1","-1.5","-0.5","10","0.01","0.39910111818167787","0.39910111818167804","0.0718018825715851","0.8700041191210721","229.83317391742654","2.1394280584573935E-08","9.204093933850395E-08","0.006180592506600832","0.11132954984348316"
"collocation","10","1","-1.5","-0.5","45","0.01","0.6100830511297756","0.6100830511297757","0.08347287880461766","1.3040306066565945","86.2787725081687","0.030031932565571483","0.05538422317564988","0.006942969021089471","0.08657203253989403"
"galerkin","10","1","-1.5","-0.5","45","0.01","0.6099100514677281","0.6099100514677287","0.08270150758021458","1.3025216106470334","86.25430666133336","1.0085205380733048E-08","1.9269191674612323E-08","0.006109644063508394","0.10388897415263576"
"collocation","10","1","-1.5","-0.5","90","0.01","0.8565180093341624","0.8565180093341624","0.12867219159641052","1.8419599504827746","85.65180093341624","0.013666975656725153","0.025174023965364466","0.009603467179451118","0.06924170718883582"
